date,Unnamed: 0,QOIL,QWAT,QWIN,WEFA,QLIQ,WCT,SQLIQ,SWCT,SOIL,BHPH,SBHPH,THPH,STHPH,SPROD,PROD
1978-05-01,500296.0,26.365792,9.036437,0.0,0.983871,68.24392399999999,0.3488357068812059,65.94828753155107,0.1773493659292964,27.73342552567363,109.0257,104.46656919002533,154.520625,148.21307114929496,2.7038307289583363,1.6289992892096394
1978-06-01,500745.0,26.749281,9.1257065,0.0,0.972222,66.195116,0.3395244479904096,59.43238631491538,0.18362455245097148,25.008985979932852,94.13092499999999,103.61144416083482,125.744325,147.54905511997575,2.7510543835428445,
1978-07-01,502090.0,26.798144,8.486486,0.0,0.979839,62.0564,0.3345948115637625,64.49563199800775,0.193494849766992,27.12082477700049,109.431,102.29745050009437,135.57285,147.49152251902572,2.731390251460081,1.2757503780834325
1978-08-01,501643.0,23.365554,7.6290320000000005,0.0,0.995968,61.6917785,0.3393546483924736,62.51590724259607,0.1915591069655218,24.525042363374823,99.805125,102.57659356327606,146.92125,147.33170932709754,2.634718796700193,
1978-09-01,501196.0,23.951478,8.433333,0.0,0.983333,66.806265,0.3404336547224621,65.30387870946562,0.1998106415602004,24.15067020489098,103.14885000000001,101.38343313158273,138.511275,147.35193065370555,2.699078495046532,5.803343986840606
1978-10-01,500301.0,22.779214,8.612903,0.0,1.0,62.213742,0.3415628196443563,66.21672190579322,0.1946965143867242,22.045142427161966,100.76771249999999,100.85419562791373,145.30005,146.74117341837353,2.6196744537848056,1.2354184261846637
1978-11-01,500302.0,21.320983,7.1,0.0,0.976389,56.780759,0.3489520701376753,58.2539683698593,0.1822064330177186,21.43485368703905,,100.01639974482426,,145.83366188946516,2.4536959574099875,
1978-12-01,502095.0,23.715859,7.344262,0.0,0.989247,64.436664,0.31939926103340976,61.53140816011618,0.1547202532808758,23.459367637584197,84.91035,99.9417046077434,139.22055,145.74430484411695,2.3650197669633335,3.272101929651893
1979-01-01,501200.0,19.403444,5.967742,0.0,0.983871,42.134053,0.3195595683000086,59.80085964043693,0.1612691383879235,23.423144627570174,89.166,98.90496203970288,91.293825,144.5819626390349,2.2631399726705963,
1979-02-01,500753.0,20.973346499999998,7.2303809999999995,0.0,0.995536,61.0692925,0.3388762071527631,63.45560304132272,0.16128598365322844,21.042618968211087,102.844875,98.79092569066667,126.8589,143.7653467418988,2.162298316990129,5.604190811720784
1979-03-01,500306.0,19.838996,8.768606,0.0,0.983871,67.406714,0.3293078207908783,63.478034408242216,0.1592822657904015,21.347892287295576,95.24549999999999,98.587768389671,109.431,142.9171888550151,2.026958305576768,17.252239871699985
1979-04-01,500307.0,19.921652,8.833333,0.0,0.995833,65.897794,0.3315067895621548,63.37302928262947,0.1512211615465836,19.49443147888705,85.113,98.35503601398612,96.765375,142.54328120121124,1.9993994224159994,52.089213816925735
1979-05-01,499860.0,18.288001,8.7211985,0.0,0.983871,63.993271,0.3614255612132055,64.77892879712729,0.15652642278720064,17.943662282896483,93.219,99.48579505755498,96.25875,140.54245752759977,1.897369574382979,
1979-06-01,499413.0,17.073171,8.333333,0.0,1.0,63.860194,0.36744397630495884,66.04621402875595,0.1553626111391848,17.141437410651587,95.2455,100.65724340341195,117.030375,141.82201914031702,1.8520752398081592,3.690046543673682
1979-07-01,499862.0,17.032895,8.658636999999999,0.0,0.983871,61.587058,0.3643252824505721,64.16870440132763,0.1795208641137092,16.739449950466973,102.996863,101.19094941260988,138.308625,141.6946865239453,1.8169431530351967,2.7003282289231767
1979-08-01,499415.0,17.440062,8.290323,0.0,0.983871,60.210033,0.3814326077595987,62.88850167256604,0.178134704252324,16.41819387011782,105.1246875,101.23525866433243,123.109875,140.54106551592213,1.8286605390805029,4.45967367515554
1979-09-01,499416.0,16.453736,7.933333,0.0,1.0,55.187921,0.3774931745729347,61.86427196707686,0.2010160657042584,16.359937417349563,98.7412125,100.45735681228476,115.15586250000001,141.85500000963776,1.9113739526928168,3.053622738607314
1979-10-01,499417.0,16.633596,10.548387,0.0,0.983871,57.522873,0.3966267245503039,60.01796193744554,0.2069809339477932,16.73157322809091,111.4068375,100.90548907881876,145.30005,142.42202050483706,1.8605557897183267,2.981303327327055
